S.No.,Phone No.,Restaurant Name,Address,Link
40,+911414113000,Jaipur Modern Kitchen,"C Scheme, Jaipur",https://www.zomato.com/jaipur/jaipur-modern-kitchen-c-scheme/info
41,+919351767705,Noir Coffee House,"MI Road, Jaipur",https://www.zomato.com/jaipur/noir-coffee-house-mi-road/info
42,+919358005217,Skyloft Open Air Lounge,"Sodala, Jaipur",https://www.zomato.com/jaipur/skyloft-open-air-lounge-sodala/info
43,+919829744416,1135 AD,"Amer, Jaipur",https://www.zomato.com/jaipur/1135-ad-amer/info
44,+918003993681,Jaipur Adda,"Nirwana Hometel, Bani Park, Jaipur",https://www.zomato.com/jaipur/jaipur-adda-gopalbari/info
45,+918696777333,The Garden Leaf,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/the-garden-leaf-malviya-nagar/info
46,+919649504777,NEO - Lounge Club,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/neo-lounge-club-malviya-nagar/info
47,+919509759700,Sequoia Café,"Raja Park, Jaipur",https://www.zomato.com/jaipur/sequoia-caf%C3%A9-raja-park/info
48,+917230011191,Latte Lounge,"C Scheme, Jaipur",https://www.zomato.com/jaipur/latte-lounge-1-c-scheme/info
49,+918875251555,Pentagon Bar & Kitchen,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/pentagon-bar-kitchen-vaishali-nagar/info
50,+919358113521,Fusion Cafe,,https://www.zomato.com/jaipur/fusion-cafe-pratap-nagar/info
51,+919358814790,Piante - Kitchen & Bar,"Raja Park, Jaipur",https://www.zomato.com/jaipur/piante-kitchen-bar-raja-park/info
52,+918829060618,Clayb.orn,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/clayb-orn-vaishali-nagar/info
53,+919001918186,Hop On,"Hotel Las Vegas, Bais Godam, Jaipur",https://www.zomato.com/jaipur/hop-on-bais-godam/info
54,+911412744131,Café Bae,"Hotel Las Vegas, Bais Godam, Jaipur",https://www.zomato.com/jaipur/caf%C3%A9-bae-bais-godam/info
55,+919358112957,Oxigen,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/oxigen-vaishali-nagar/info
56,+919672013111,Midnight Vegas,,https://www.zomato.com/jaipur/midnight-vegas-malviya-nagar/info
57,+917737307781,Brunch & Drunch Cafe,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/brunch-drunch-cafe-malviya-nagar/info
58,+919950153560,Code Black,"Tonk Road, Jaipur",https://www.zomato.com/jaipur/code-black-tonk-road/info
59,+919672211188,Queens Hub,,https://www.zomato.com/jaipur/queens-hub-malviya-nagar/info
60,+918306660040,Cayo Kitchen And Bar,"Shyam Nagar, Jaipur",https://www.zomato.com/jaipur/cayo-kitchen-and-bar-shyam-nagar/info
61,+919799919548,Bellissimo Home Cafe,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/bellissimo-home-cafe-vaishali-nagar/info
62,+918183959595,The Big Tree Cafe,"Ajmer Highway, Jaipur",https://www.zomato.com/jaipur/the-big-tree-cafe-ajmer-highway/info
63,+918003299910,Limelight - Hotel Royal Orchid,,https://www.zomato.com/jaipur/limelight-hotel-royal-orchid-durgapura/info
64,+916377207631,Azura,,https://www.zomato.com/jaipur/azura-1-mansarovar/info
65,+919001793533,Amritsar House,"Hotel Royal Empire, Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/amritsar-house-malviya-nagar/info
